chapter,season,season_code,patch_version,patch_type,release_date,source
1,1,ch1_s1,v1.10,Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.8,Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.8.1,Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.8.2,Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.9,Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.9,Content_Update,,https://fortnite.fandom.com/wiki/Season_1
1,1,ch1_s1,v1.9.1,Update,,https://fortnite.fandom.com/wiki/Season_1
1,10,ch1_s10,v10.00,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.00,Content_Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.00,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.10,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.10,Content_Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.10,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.20,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.20,Content_Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.20,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.20.2,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.30,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.30,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.31,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.31,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.40,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.40,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.40.1,Update,,https://fortnite.fandom.com/wiki/Season_X
1,10,ch1_s10,v10.41,Update,,https://fortnite.fandom.com/wiki/Season_X
1,2,ch1_s2,v1.11,Update,2017-12-14,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v1.11,Update,2017-12-19,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v1.11,Update,2017-12-23,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v1.11,Update,2018-01-02,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.10,Update,2018-01-10,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.2.0,Update,2018-01-18,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.30,Update,2018-01-25,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.40,Update,2018-01-31,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.42,Update,2018-02-08,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.50,Update,2018-02-13,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v1.11,Update,,https://fortnite.fandom.com/wiki/Season_2
1,2,ch1_s2,v2.2.0,Update,,https://fortnite.fandom.com/wiki/Season_2
